id,is_iceberg,angle,pred,band_1_max,band_1_min,band_1_mean,band_1_median,band_1_coords,band_1_x,band_1_y,band_2_max,band_2_min,band_2_mean,band_2_median,band_2_coords,band_2_x,band_2_y
05cf0527,0,34.0331,,0.8064061888947456,0.2005001070915549,0.3409964296699314,0.33087456507766333,"(30, 36)",30,36,0.6915606545029008,0.14859075391058674,0.2782004219070456,0.2702639358120741,"(30, 36)",30,36
05f4cebf,0,43.2159,,0.6687816126991041,0.055491124463320725,0.19524964636188186,0.1941313628487231,"(35, 36)",35,36,0.4130862165790091,0.07520250175444682,0.1931299097517109,0.19415130541015768,"(35, 36)",35,36
060a48a5,0,44.483,,0.5522752991832923,0.18292860403465935,0.32668876768907973,0.32602225320631517,"(40, 35)",40,35,0.4569135476002019,0.10789076551715748,0.23717219046812485,0.23550466197258657,"(35, 35)",35,35
0615d2f8,1,43.9409,,0.45611803882457747,0.14156523879921054,0.2739004377037701,0.2729109119912827,"(41, 38)",41,38,0.3749836221714219,0.03205113631717923,0.19338589362695344,0.19488373337114445,"(37, 39)",37,39
062857c0,1,45.2853,,0.5123557006110999,0.17671492567108216,0.2924039601362378,0.2932226102379925,"(41, 25)",41,25,0.3730936780883699,0.12142014818918549,0.2402943876026048,0.24037423662367652,"(37, 24)",37,24
0645d7de,0,43.4742,,0.7531941502085694,0.167504615705844,0.32785434136599767,0.3074577850873913,"(35, 37)",35,37,0.6468138342944652,0.056007250417347956,0.23781200048952345,0.21642934021431473,"(33, 33)",33,33
06b6ac23,1,35.2954,,0.6122806841734437,0.19660864029422456,0.3407593974878001,0.3382382063181625,"(38, 38)",38,38,0.5092303647035809,0.12157586220168667,0.25616856799933724,0.25409064312965796,"(38, 38)",38,38
06ebccea,0,40.9834,,0.5986648504975969,0.2035916902138461,0.3227780506806518,0.3242867268692711,"(40, 51)",40,51,0.47614905798319684,0.1285404153955777,0.24813982692604317,0.2510199996968731,"(44, 50)",44,50
0717d705,0,42.5378,,0.7856126035791714,0.27168297369915173,0.41065387426689204,0.408530438132092,"(37, 38)",37,38,0.5349248344916971,0.13001936821566526,0.26627480690559496,0.265633173334163,"(37, 39)",37,39
0719d5e2,0,na,,0.5109577769109411,0.23215411222596677,0.36129614738740595,0.3617449771169079,"(35, 36)",35,36,0.3693437037644178,0.10544467325209934,0.26579954862228033,0.26696725590952936,"(30, 37)",30,37
07623257,0,37.1598,,0.4491681184851392,0.15217231330322403,0.28996176477841856,0.2913000102105915,"(38, 40)",38,40,0.4871920145596653,0.14349496829232447,0.24796737775857974,0.24968445882170173,"(37, 39)",37,39
076a815e,1,34.4718,,0.6053564523459533,0.21966955773979785,0.3365679723349697,0.33270873230920306,"(34, 39)",34,39,0.48393267710340676,0.13080312334414418,0.2561839169512858,0.25609756279962453,"(36, 37)",36,37
076d3642,1,40.3958,,0.6078428659774119,0.18545414247883246,0.31647427747712154,0.3125377786898176,"(16, 1)",16,1,0.4966065238898924,0.12800927019997008,0.2534295466951642,0.25050074525352084,"(12, 1)",12,1
07d60155,0,31.5671,,0.5858885114094387,0.2522079157610251,0.37741537216952176,0.3781115506119276,"(37, 43)",37,43,0.3781601730695252,0.126923210768345,0.2671816360075267,0.26935337092107314,"(34, 42)",34,42
07ecb0dd,1,43.2611,,0.4709106581224757,0.15023814659019094,0.2944320498522378,0.29572603736717507,"(36, 38)",36,38,0.3244981928050828,0.10635562453022804,0.2091396080387047,0.2108425562694328,"(34, 38)",34,38
08367f44,1,42.5577,,0.5602369056643057,0.16684138843303517,0.30662412842087783,0.30678544655682705,"(39, 36)",39,36,0.3541682246792788,0.09177773676257643,0.21302182073635959,0.21575237750231782,"(39, 36)",39,36
083a41f9,0,40.9858,,0.4007148236648805,0.1167145387853903,0.2541289568518088,0.2540869537557926,"(48, 37)",48,37,0.3184545870982397,0.10397705029972669,0.23912972075384034,0.23963060343598366,"(48, 35)",48,35
0840a539,0,40.4793,,0.7029634496722541,0.1718084572813383,0.3325078226071048,0.3288737528171361,"(31, 37)",31,37,0.5706247615617499,0.11650362127001807,0.2451395557404453,0.24316286730957498,"(32, 37)",32,37
08531b1d,0,32.178,,0.6441402971162458,0.21636225842328924,0.3593626245620697,0.35974519937675514,"(37, 32)",37,32,0.534227281085019,0.11719999058711096,0.26119833177814594,0.2617162423787009,"(37, 31)",37,31
0859ef5e,0,43.9131,,0.6350097947890486,0.1889034702250578,0.3384401719766728,0.3390086747150856,"(35, 37)",35,37,0.39775346546875695,0.10732538143638692,0.23070224381957308,0.23067949691299122,"(35, 36)",35,36
0867ca68,0,36.6134,,0.6678226995607253,0.28323115014136285,0.4537146119413532,0.4544577084082426,"(48, 39)",48,39,0.5284677322376093,0.17367074352450074,0.3002356106209562,0.29920302295328993,"(45, 39)",45,39
08955acb,0,35.5647,,0.6646901594028879,0.1859551868707748,0.30721640325977567,0.30288185218932434,"(39, 36)",39,36,0.5762099251735153,0.13259691935287984,0.25397796185869903,0.2515723712563076,"(38, 36)",38,36
08aa087c,0,37.3661,,0.7453636660689882,0.16864536761220333,0.3337694803427169,0.33070304658522526,"(41, 34)",41,34,0.6393058338373816,0.11336568415649251,0.24044793712039472,0.23626160682003694,"(41, 34)",41,34
08db8953,0,37.3143,,0.5338417789083881,0.18830469481798526,0.3159500510717919,0.3168045769574472,"(36, 34)",36,34,0.37921593227187056,0.11323326554856705,0.22929018350679706,0.23215891090481197,"(37, 34)",37,34
08e45f85,1,38.0331,,0.6020922788185469,0.08601987056878777,0.26654939333509403,0.2662585097402462,"(39, 37)",39,37,0.3899692854640066,0.12459266071859834,0.24182887652538718,0.24355453921614964,"(39, 35)",39,35
08fb43c6,1,41.1294,,0.5763864791627156,0.21421473123110815,0.34909034158483404,0.3484508543493032,"(38, 36)",38,36,0.4183874105800474,0.13918124268481916,0.26651649084528967,0.26753903407405993,"(36, 36)",36,36
0925dff9,0,42.5093,,0.47056384451502786,0.18104216236395934,0.3065384599964073,0.30657369394669476,"(36, 35)",36,35,0.4158813535255756,0.07487442169064656,0.21862850603026499,0.22033885502974335,"(37, 35)",37,35
09aa6df7,0,38.9132,,0.5467763996138323,0.14627532281522757,0.2668314870820175,0.2681875661719117,"(34, 33)",34,33,0.45769242926523035,0.11513375426097754,0.2229968859579528,0.2257285690753492,"(39, 32)",39,32
09ecea99,0,40.4862,,0.7778887996791641,0.2755230385443845,0.4091730209362107,0.40586161238401164,"(38, 42)",38,42,0.5817450080278781,0.14791083720667736,0.27331151137383003,0.2726842897087808,"(36, 42)",36,42
0a0c6272,1,39.9798,,0.48894398104579195,0.11603148112805493,0.24723238937656206,0.246369219872922,"(39, 48)",39,48,0.3426292467435293,0.10325129063271961,0.21799350179391097,0.21763308568660544,"(48, 50)",48,50
0a192892,1,35.2954,,0.6337733185878034,0.15821768891239454,0.3172376946252736,0.3157722627288883,"(38, 34)",38,34,0.37940030125233304,0.15016393533345257,0.2585640667305582,0.2604523326913823,"(38, 34)",38,34
0a2e9a0a,0,43.1087,,0.49884577440057154,0.10646312740046121,0.24800782052421508,0.2495659750785787,"(35, 50)",35,50,0.3978269288794415,0.07531152524498935,0.19501250159512795,0.19428065784926257,"(36, 50)",36,50
0a982892,1,43.2611,,0.495768811668632,0.15960316097575764,0.298936869089648,0.29875482634914924,"(39, 36)",39,36,0.35768880969032996,0.09259549395830133,0.21531692948857592,0.2165748585922825,"(37, 35)",37,35
0abde10f,1,35.2975,,0.5254640210266391,0.20748446574177057,0.392187587849476,0.39290015646933707,"(33, 30)",33,30,0.44201428545503246,0.1659764670795176,0.27999064783388666,0.28002768924942384,"(32, 35)",32,35
0aebf04a,0,38.7481,,0.6767574033269378,0.10145050226338098,0.2664987436983999,0.25154902599532825,"(43, 35)",43,35,0.6629186616706563,0.11420335898545009,0.23741951941351855,0.2290588397298102,"(41, 34)",41,34
0b13cae5,1,36.1061,,0.5514665909248184,0.18672435900120474,0.31313369369320265,0.3133951592622928,"(34, 35)",34,35,0.4395417568319726,0.12304520519998305,0.23708128004388426,0.2383425133929257,"(34, 35)",34,35
0b1d356b,1,37.7043,,0.4859775374965026,0.15284238336742517,0.27213303900106917,0.2718262734671599,"(35, 36)",35,36,0.30901562320205345,0.08583695988813024,0.21664294937277212,0.21922956251404704,"(35, 36)",35,36
0b2e007c,1,32.785,,0.5218901021278514,0.21802914495669573,0.33981034040866614,0.3397428725783997,"(41, 35)",41,35,0.40373402775326506,0.11877307229716969,0.2513906847675104,0.2543955898221941,"(44, 33)",44,33
0b36db0e,1,33.634,,0.627143438967087,0.30397193752553897,0.4202229156516734,0.4196120583495417,"(38, 33)",38,33,0.47903368717420086,0.1768708640373995,0.28290694758512086,0.282269469972585,"(38, 32)",38,32
0b44f893,0,39.5309,,0.5444052415233644,0.1838935124055695,0.3170944003857867,0.3167459208986278,"(41, 48)",41,48,0.35812034179157193,0.08781860236147851,0.23090605022082067,0.2339586273614735,"(38, 52)",38,52
0b59fa1e,1,36.9031,,0.5840171388367226,0.1988022098751177,0.34504623933036954,0.34334353943771156,"(38, 38)",38,38,0.43905561950470257,0.09957246139668528,0.2468186209124923,0.24625784066731002,"(37, 37)",37,37
0b85842b,0,40.3085,,0.4720657437448661,0.15597082283606759,0.31658126380177587,0.3178521721737053,"(32, 36)",32,36,0.37128264422809426,0.10337820010804877,0.23615900223287997,0.23900065531256875,"(35, 35)",35,35
0b87e9b9,1,43.9577,,0.37090351120702153,0.09320569894589599,0.2504391065674865,0.2507884042381134,"(38, 37)",38,37,0.2946633231965294,0.07653191029197702,0.21118614627926424,0.21216188134933767,"(69, 38)",69,38
0bd98db1,0,na,,0.8358333577629712,0.1335385821756178,0.2939331355607358,0.2759865535285272,"(39, 33)",39,33,0.5936617728618035,0.13357547591427174,0.2638388044465442,0.2589066969314979,"(42, 31)",42,31
0c2cf1d0,1,43.9459,,0.5152884412315649,0.15134942089792977,0.27776619009262854,0.2789579079335697,"(37, 35)",37,35,0.3375495398154236,0.09302103082701205,0.21020352500062653,0.2119411919788625,"(36, 36)",36,36
0c33ca9e,1,40.4053,,0.5737517676587892,0.1719007414843767,0.29460869130286504,0.2932128882392932,"(37, 34)",37,34,0.4097654311053304,0.12797124222813458,0.23146769864768826,0.23144980327660275,"(38, 34)",38,34
0c3b2f7a,0,38.7496,,0.5589394052250708,0.2452326060480604,0.3780154227837427,0.3787644326809922,"(37, 37)",37,37,0.35004811641510125,0.11486606276602135,0.24290134646192038,0.24521520616320872,"(38, 37)",38,37
0c4dee0f,0,34.0352,,0.8213492374263646,0.183588603105336,0.35123035909085765,0.3490439959827704,"(41, 33)",41,33,0.5802336610095603,0.10855651053834743,0.2684308461391722,0.267296495134713,"(40, 32)",40,32
0c954027,1,40.7129,,0.6630541713756041,0.17227976232854136,0.3167430816407029,0.30892488454752626,"(42, 45)",42,45,0.5213220008730853,0.10422418849230448,0.25488817770612643,0.2543000898811244,"(51, 48)",51,48
0cf852fc,0,42.4098,,0.7697689240449658,0.0750552508664544,0.28057633899509304,0.26286580640439405,"(32, 45)",32,45,0.5508073397001956,0.07504849532376849,0.20974886880584317,0.20539894745155007,"(30, 38)",30,38
0d179546,1,45.3015,,0.42784740141444616,0.09391377205373082,0.26400967272284587,0.26501815720362215,"(38, 38)",38,38,0.3209526297358349,0.10837113196571233,0.23264107570708178,0.2359617454806666,"(34, 36)",34,36
0d276791,0,38.137,,0.5070329187873088,0.1885528924591392,0.30883787378038224,0.309503144044523,"(37, 34)",37,34,0.32420603428006656,0.0696448588774611,0.2302839796662098,0.23246563996377634,"(37, 34)",37,34
0d33dfaf,0,43.7937,,0.536759824353896,0.11966420565487287,0.251845697052239,0.2500421785174341,"(36, 40)",36,40,0.3156249869126941,0.07578119749497499,0.19581265548744284,0.194736607124161,"(64, 72)",64,72
0d3b11df,0,40.2484,,0.536961605683311,0.11659857279064836,0.25104717328040665,0.25054235042231365,"(42, 46)",42,46,0.32378705352842746,0.12801845624233088,0.22904401414601225,0.2314682875382324,"(41, 47)",41,47
0d3ec646,1,42.5603,,0.5342178332965393,0.15850877552473366,0.3066680191778307,0.3064552351317735,"(38, 35)",38,35,0.3815278110984742,0.030874786938659284,0.21631229682047545,0.21546286136669165,"(29, 11)",29,11
0d42590b,1,34.4878,,0.5602704590239194,0.2756527025860118,0.3999759579991044,0.39962497514658285,"(28, 40)",28,40,0.4044537174031355,0.1567385117384908,0.2779599945570102,0.2782300667617129,"(44, 34)",44,34
0d42919f,0,43.8395,,0.43933486522119,0.07604902609504105,0.1892543152412422,0.18879819842888515,"(38, 38)",38,38,0.27003499520680535,0.05628425259567396,0.18149458939473642,0.1822296172563782,"(48, 0)",48,0
0daec640,0,na,,0.42669224100745035,0.09133825256496238,0.21615346670741153,0.2153431810698825,"(37, 37)",37,37,0.2826987460715647,0.09135765917005836,0.21168425659969714,0.21531058744603793,"(52, 72)",52,72
0df5c436,0,na,,0.540342256233596,0.14346121550709642,0.2709265194165542,0.27182181131903893,"(38, 37)",38,37,0.4030673229963061,0.12174094921806217,0.24146264276519658,0.24460414115265217,"(39, 36)",39,36
0e1f745a,0,na,,0.4812613585351471,0.21107582191771262,0.34233756877441596,0.34329559004156235,"(35, 36)",35,36,0.3657607733206818,0.10945965928931489,0.24407958902325078,0.2467972495618121,"(35, 36)",35,36
0e5ff047,0,35.6291,,0.5479958623173536,0.14186416533101365,0.259094238726952,0.2607917924793012,"(37, 35)",37,35,0.35122689629329606,0.14183122271234389,0.2530026057460414,0.2546020327253445,"(37, 35)",37,35
0e715566,1,37.2844,,0.53695255674606,0.22307604637124157,0.3333705972103592,0.33456091016653833,"(37, 38)",37,38,0.36413408351266685,0.14360119982426614,0.2503418611980441,0.2531204749081695,"(37, 37)",37,37
0ecf7d79,0,34.1216,,0.6737568829257973,0.28074420055356564,0.40286677104160157,0.40208206074863184,"(34, 31)",34,31,0.5088818809066128,0.1400477345150498,0.25844689622947986,0.25897177200227905,"(34, 31)",34,31
0f35dc1d,0,37.348,,0.7834331807527959,0.20489563459324456,0.36767940590400416,0.35497156091026627,"(37, 35)",37,35,0.6648642828924133,0.12457972298186765,0.26946392784834455,0.2570489351569609,"(37, 35)",37,35
0f383168,0,32.3102,,0.49442620364825235,0.19817490414109284,0.34042296679104844,0.34163879942988207,"(35, 32)",35,32,0.44111080017334076,0.14628454624989104,0.259810655261826,0.2623720036550727,"(37, 31)",37,31
0f467f8a,1,37.6866,,0.5237408840058863,0.21997975181881146,0.33861726229668865,0.3389167519709732,"(36, 36)",36,36,0.3447643347630156,0.10102153776692367,0.2387441065000142,0.24046015167115675,"(34, 34)",34,34
0f7ef121,1,40.3944,,0.5632451912003049,0.1973006596401046,0.3167192687621114,0.31625448632847675,"(40, 34)",40,34,0.3749348875369162,0.089236692976888,0.2442199692534451,0.24676365880989573,"(40, 35)",40,35
0f962f75,1,37.2802,,0.4373228726621585,0.14356501653936338,0.31585183839505454,0.31776730411070037,"(37, 34)",37,34,0.3177994240987109,0.13409487992683475,0.24585135052466334,0.24632046031021454,"(32, 17)",32,17
10ceaa35,1,39.6261,,0.5169345750369785,0.1630040781541006,0.29699611613519633,0.2964392955409829,"(34, 36)",34,36,0.3780405800214223,0.10245540793406828,0.2355105494222208,0.23804612953770551,"(70, 5)",70,5
1123c599,1,43.256,,0.47971001421705206,0.1505191996013083,0.2799446573490145,0.27815788715342077,"(39, 37)",39,37,0.3722235342765766,0.05574540458571221,0.19221323126907655,0.1944204676690197,"(40, 34)",40,34
112a6cfa,1,38.0669,,0.5779723864325969,0.1357283003493339,0.26647596247953315,0.26702469048646094,"(36, 35)",36,35,0.47727364395069327,0.11395026295264381,0.23946781136082967,0.2406533826273567,"(36, 34)",36,34
1130ed26,0,38.7816,,0.5532331279448932,0.15407389885651349,0.28714042232450987,0.2884903775146822,"(37, 40)",37,40,0.39559237733480035,0.12565694536595695,0.22626401175556385,0.22910521864924646,"(36, 39)",36,39
11391666,1,41.1227,,0.5969822965893634,0.2037579114634031,0.33706632120610663,0.33625157820445556,"(36, 38)",36,38,0.4104724696927909,0.11728367456053075,0.25543229921181015,0.25793654117411036,"(33, 39)",33,39
11581b71,1,45.4055,,0.48337844839293864,0.2082012761843339,0.3311291940818721,0.33243755086599575,"(37, 35)",37,35,0.34688404208199547,0.15291432615780032,0.2695121431253703,0.2718469140182447,"(28, 63)",28,63
11623106,1,37.6877,,0.6250799696713526,0.1249410323386582,0.28572655396371816,0.2828222777755509,"(38, 40)",38,40,0.3741860817473513,0.1007372565536741,0.21555994331127484,0.21508593449147764,"(39, 39)",39,39
11745012,0,34.7608,,0.6795721338401137,0.23941728034913845,0.4125643746503543,0.41147076939000293,"(35, 34)",35,34,0.5672941793047666,0.1488591558592941,0.27087735917011824,0.27055230525041774,"(37, 36)",37,36
119f046b,0,35.7234,,0.42484658187488394,0.13230422487152507,0.24732644496875655,0.24794367263407932,"(39, 33)",39,33,0.3246576335837521,0.12202142888053831,0.2432652661448939,0.24450566229146814,"(39, 27)",39,27
11a04625,0,na,,0.4931670677115771,0.16467700977644192,0.29348362266112255,0.29346666979764885,"(35, 31)",35,31,0.38485172506147797,0.11682698990367943,0.2325516577730598,0.23575082796529437,"(34, 31)",34,31
11ab27f8,0,39.6118,,0.4816403918434127,0.08825408558270466,0.23410362328200096,0.2343901096063119,"(30, 37)",30,37,0.42146315183009897,0.0882203327974767,0.2232064952235682,0.22604263948974165,"(30, 37)",30,37
11c7a8d0,0,39.8205,,0.6462635068475776,0.21293774670194904,0.34901697147874694,0.3471918804459396,"(41, 34)",41,34,0.5570223891148713,0.11619095929902695,0.24354059588462204,0.24285391964065103,"(41, 34)",41,34
11d06927,1,34.4718,,0.6701231488068067,0.15678724637299646,0.3003408602875332,0.29024906215119217,"(34, 34)",34,34,0.4684455207112475,0.13072195711910553,0.2561797953334805,0.25601906389217777,"(45, 36)",45,36
11d9ae7b,1,42.5591,,0.533229928659475,0.15855727334132236,0.2779229173423594,0.27468851713295367,"(40, 35)",40,35,0.3552649159889686,0.09152202326858182,0.19912242636092858,0.19963133433086025,"(38, 35)",38,35
1200ea6a,0,38.1618,,0.7479265095671448,0.19437268030618213,0.3321430262380514,0.3275618688054665,"(38, 36)",38,36,0.4671453155621181,0.1134868227531065,0.23362661688471534,0.23244837718403455,"(38, 35)",38,35
12c38030,1,38.8594,,0.558902748304334,0.18387925347414377,0.30214808902731694,0.3028128384626599,"(39, 37)",39,37,0.4082202315889774,0.10228837651795294,0.2312138472770726,0.23395541162344216,"(37, 37)",37,37
